Year,State,Metric,Age Range,"Events per 1,000 women"
1988,AL,Abortion Rate,15-17,24
1992,AL,Abortion Rate,15-17,19.100000000000001
1996,AL,Abortion Rate,15-17,12.5
2000,AL,Abortion Rate,15-17,9.3000000000000007
2005,AL,Abortion Rate,15-17,7
2006,AL,Abortion Rate,15-17,7.0999999999999996
2007,AL,Abortion Rate,15-17,6.7999999999999998
2008,AL,Abortion Rate,15-17,6.7000000000000002
2009,AL,Abortion Rate,15-17,6.4000000000000004
2010,AL,Abortion Rate,15-17,5.7000000000000002
2011,AL,Abortion Rate,15-17,5.0999999999999996
2012,AL,Abortion Rate,15-17,4.2000000000000002
2013,AL,Abortion Rate,15-17,3
2014,AL,Abortion Rate,15-17,3.2000000000000002
2015,AL,Abortion Rate,15-17,2.7000000000000002
2016,AL,Abortion Rate,15-17,2.8999999999999999
1988,AK,Abortion Rate,15-17,23
1992,AK,Abortion Rate,15-17,19.899999999999999
1996,AK,Abortion Rate,15-17,12
2000,AK,Abortion Rate,15-17,7.9000000000000004
2005,AK,Abortion Rate,15-17,8.4000000000000004
2006,AK,Abortion Rate,15-17,7.7000000000000002
2007,AK,Abortion Rate,15-17,9
2008,AK,Abortion Rate,15-17,9
2009,AK,Abortion Rate,15-17,8
2010,AK,Abortion Rate,15-17,9
2011,AK,Abortion Rate,15-17,6.7000000000000002
2012,AK,Abortion Rate,15-17,4.9000000000000004
2013,AK,Abortion Rate,15-17,5.7999999999999998
2014,AK,Abortion Rate,15-17,4
2015,AK,Abortion Rate,15-17,3.3999999999999999
2016,AK,Abortion Rate,15-17,4.5
1988,AZ,Abortion Rate,15-17,23.699999999999999
1992,AZ,Abortion Rate,15-17,19.300000000000001
1996,AZ,Abortion Rate,15-17,18.399999999999999
2000,AZ,Abortion Rate,15-17,12.9
2005,AZ,Abortion Rate,15-17,9.1999999999999993
2006,AZ,Abortion Rate,15-17,8.6999999999999993
2007,AZ,Abortion Rate,15-17,7.5
2008,AZ,Abortion Rate,15-17,8.3000000000000007
2009,AZ,Abortion Rate,15-17,5.5999999999999996
2010,AZ,Abortion Rate,15-17,4.5999999999999996
2011,AZ,Abortion Rate,15-17,4.2999999999999998
2012,AZ,Abortion Rate,15-17,3.6000000000000001
2013,AZ,Abortion Rate,15-17,3
2014,AZ,Abortion Rate,15-17,2.6000000000000001
2015,AZ,Abortion Rate,15-17,2.2999999999999998
2016,AZ,Abortion Rate,15-17,2.2000000000000002
1988,AR,Abortion Rate,15-17,19.100000000000001
1992,AR,Abortion Rate,15-17,14
1996,AR,Abortion Rate,15-17,10.300000000000001
2000,AR,Abortion Rate,15-17,7.7999999999999998
2005,AR,Abortion Rate,15-17,5.7000000000000002
2006,AR,Abortion Rate,15-17,6.5
2007,AR,Abortion Rate,15-17,6
2008,AR,Abortion Rate,15-17,6.2000000000000002
2009,AR,Abortion Rate,15-17,5.9000000000000004
2010,AR,Abortion Rate,15-17,5.4000000000000004
2011,AR,Abortion Rate,15-17,4.5
2012,AR,Abortion Rate,15-17,4.5999999999999996
2013,AR,Abortion Rate,15-17,3.3999999999999999
2014,AR,Abortion Rate,15-17,2.7000000000000002
2015,AR,Abortion Rate,15-17,2.2000000000000002
2016,AR,Abortion Rate,15-17,2.2000000000000002
1988,CA,Abortion Rate,15-17,50.299999999999997
1992,CA,Abortion Rate,15-17,41.700000000000003
1996,CA,Abortion Rate,15-17,31.399999999999999
2000,CA,Abortion Rate,15-17,21.800000000000001
2005,CA,Abortion Rate,15-17,15.4
2006,CA,Abortion Rate,15-17,15.4
2007,CA,Abortion Rate,15-17,15.699999999999999
2008,CA,Abortion Rate,15-17,14.4
2009,CA,Abortion Rate,15-17,13.1
2010,CA,Abortion Rate,15-17,11.4
2011,CA,Abortion Rate,15-17,9.8000000000000007
2012,CA,Abortion Rate,15-17,8.5
2013,CA,Abortion Rate,15-17,7.5
2014,CA,Abortion Rate,15-17,6.7000000000000002
2015,CA,Abortion Rate,15-17,5.7999999999999998
2016,CA,Abortion Rate,15-17,5.2999999999999998
1988,CO,Abortion Rate,15-17,28.100000000000001
1992,CO,Abortion Rate,15-17,26.5
1996,CO,Abortion Rate,15-17,20.899999999999999
2000,CO,Abortion Rate,15-17,12.5
2005,CO,Abortion Rate,15-17,9.3000000000000007
